,close,datetime,high,low,open,volume,sma_10,sma_30,sma_100,bsh
507,234.5,2020-02-20 16:27:00,234.58,234.3675,234.37,278525,234.94078,235.56499000000005,236.29192600000002,hold
508,234.19,2020-02-20 16:28:00,234.51,234.19,234.49,169907,234.83877999999999,235.49065666666672,236.27047600000003,hold
509,234.02,2020-02-20 16:29:00,234.29,233.99,234.18,313083,234.71978,235.41199000000006,236.24727600000003,hold
510,233.65,2020-02-20 16:30:00,234.18,233.59,234.015,360320,234.56878,235.32332333333338,236.21762600000002,hold
511,233.0,2020-02-20 16:31:00,233.72,232.99,233.62,589384,234.33877999999999,235.21836333333337,236.181676,hold
512,232.49,2020-02-20 16:32:00,233.04,231.88,233.0,1054287,234.06778000000003,235.09436333333335,236.140276,hold
513,232.49,2020-02-20 16:33:00,233.035,232.3192,232.47,564110,233.81800000000004,234.97336333333337,236.09827600000006,hold
514,232.64,2020-02-20 16:34:00,232.74,232.15,232.48,446468,233.596,234.85903000000005,236.05787600000002,hold
515,232.82,2020-02-20 16:35:00,232.83,232.29,232.67,407570,233.41800000000003,234.7482966666667,236.019527,hold
516,233.35,2020-02-20 16:36:00,233.39,232.66,232.83,374260,233.315,234.6573533333334,235.985627,hold
517,233.23,2020-02-20 16:37:00,233.35,232.96,233.33,370007,233.18800000000002,234.56218333333337,235.951227,hold
518,233.0718,2020-02-20 16:38:00,233.29,233.06,233.23,126521,233.07618000000002,234.46024333333335,235.91504500000002,hold
519,233.5,2020-02-20 16:39:00,233.56,233.0744,233.0874,206488,233.02418000000003,234.37498666666667,235.88329500000003,hold
520,233.34,2020-02-20 16:40:00,233.48,233.25,233.48,208643,232.99318000000002,234.29131999999998,235.850195,hold
521,233.45,2020-02-20 16:41:00,233.49,233.18,233.3595,268616,233.03818,234.21665333333334,235.81866500000004,hold
522,233.69,2020-02-20 16:42:00,233.71,233.4301,233.4523,259541,233.15818,234.15198666666666,235.78976500000002,hold
523,233.54,2020-02-20 16:43:00,233.69,233.52,233.68,228731,233.26318,234.0836533333333,235.759015,hold
524,233.445,2020-02-20 16:44:00,233.6,233.32,233.55,146767,233.34368000000003,234.01881999999995,235.72661499999998,hold
525,233.26,2020-02-20 16:45:00,233.66,233.16,233.46,229808,233.38768000000005,233.95281999999997,235.69151499999995,hold
526,233.1,2020-02-20 16:46:00,233.26,233.03,233.26,151076,233.36268000000004,233.89048666666665,235.65381499999995,hold
527,233.08,2020-02-20 16:47:00,233.27,233.07,233.09,116739,233.34768000000003,233.82548666666665,235.615715,hold
528,233.0,2020-02-20 16:48:00,233.13,232.99,233.09,173805,233.34050000000002,233.75181999999998,235.57751499999998,hold
529,232.91,2020-02-20 16:49:00,233.03,232.86,232.985,136571,233.2815,233.6751533333333,235.53875,hold
530,232.96,2020-02-20 16:50:00,233.11,232.87,232.9,154416,233.24349999999998,233.60181999999998,235.499598,hold
531,233.211,2020-02-20 16:51:00,233.35,232.95,232.95,255257,233.21959999999999,233.53218666666666,235.462957,hold
532,233.3,2020-02-20 16:52:00,233.315,233.11,233.21,91458,233.1806,233.46885333333333,235.42775699999999,hold
533,233.53,2020-02-20 16:53:00,233.54,233.29,233.31,124922,233.17960000000002,233.42025999999998,235.394678,hold
534,233.805,2020-02-20 16:54:00,233.87,233.46,233.54,248331,233.2156,233.38509333333334,235.364928,hold
535,233.83,2020-02-20 16:55:00,233.99,233.75,233.83,211039,233.27259999999995,233.35942666666668,235.335828,hold
536,233.68,2020-02-20 16:56:00,233.81,233.68,233.81,127183,233.33059999999995,233.33609333333334,235.30592800000002,hold
537,233.66,2020-02-20 16:57:00,233.71,233.51,233.67,108216,233.38859999999994,233.30809333333335,235.276228,hold
538,233.59,2020-02-20 16:58:00,233.66,233.53,233.66,90091,233.44759999999997,233.28809333333336,235.245178,hold
